Commune,Année,Code INSEE,Consommation (MWh)
Bras-Panon,2012,97402,28739.0
Bras-Panon,2013,97402,29609.0
Bras-Panon,2014,97402,30243.0
Bras-Panon,2015,97402,34210.0
Bras-Panon,2016,97402,35310.0
Bras-Panon,2017,97402,35556.0
Bras-Panon,2018,97402,35314.0
Bras-Panon,2019,97402,34949.0
Bras-Panon,2020,97402,33705.0
Bras-Panon,2021,97402,32303.967999999997
Bras-Panon,2022,97402,35738.854999999996
Bras-Panon,2023,97421,36387.82829090918
Bras-Panon,2024,97421,36911.893263636506
Bras-Panon,2025,97421,37435.9582363636
Bras-Panon,2026,97421,37960.02320909093
Bras-Panon,2027,97421,38484.08818181825
Bras-Panon,2028,97421,39008.15315454558
Bras-Panon,2029,97421,39532.218127272674
Bras-Panon,2030,97421,40056.2831
Cilaos,2012,97424,10705.0
Cilaos,2013,97424,11138.0
Cilaos,2014,97424,10909.0
Cilaos,2015,97424,11574.0
Cilaos,2016,97424,12107.0
Cilaos,2017,97424,11969.0
Cilaos,2018,97424,12179.0
Cilaos,2019,97424,12267.0
Cilaos,2020,97424,11924.0
Cilaos,2021,97424,12099.818
Cilaos,2022,97424,12446.854
Cilaos,2023,97421,12686.763381818135
Cilaos,2024,97421,12841.850127272657
Cilaos,2025,97421,12996.936872727238
Cilaos,2026,97421,13152.02361818176
Cilaos,2027,97421,13307.11036363634
Cilaos,2028,97421,13462.197109090863
Cilaos,2029,97421,13617.283854545385
Cilaos,2030,97421,13772.370599999966
Entre-Deux,2012,97403,12245.0
Entre-Deux,2013,97403,13917.0
Entre-Deux,2014,97403,13578.0
Entre-Deux,2015,97403,14395.0
Entre-Deux,2016,97403,14387.0
Entre-Deux,2017,97403,13985.0
Entre-Deux,2018,97403,13968.0
Entre-Deux,2019,97403,14856.0
Entre-Deux,2020,97403,14916.0
Entre-Deux,2021,97403,14392.541000000001
Entre-Deux,2022,97403,15092.844
Entre-Deux,2023,97421,15284.31049090909
Entre-Deux,2024,97421,15472.113981818198
Entre-Deux,2025,97421,15659.917472727306
Entre-Deux,2026,97421,15847.720963636355
Entre-Deux,2027,97421,16035.524454545463
Entre-Deux,2028,97421,16223.32794545457
Entre-Deux,2029,97421,16411.13143636362
Entre-Deux,2030,97421,16598.934927272727
L'Étang-Salé,2012,97404,54826.0
L'Étang-Salé,2013,97404,58572.0
L'Étang-Salé,2014,97404,58395.0
L'Étang-Salé,2015,97404,69105.0
L'Étang-Salé,2016,97404,69079.0
L'Étang-Salé,2017,97404,70096.0
L'Étang-Salé,2018,97404,69421.0
L'Étang-Salé,2019,97404,75881.0
L'Étang-Salé,2020,97404,73276.0
L'Étang-Salé,2021,97404,69838.137
L'Étang-Salé,2022,97404,76917.393
L'Étang-Salé,2023,97421,79440.14889090881
L'Étang-Salé,2024,97421,81386.13537272718
L'Étang-Salé,2025,97421,83332.12185454508
L'Étang-Salé,2026,97421,85278.10833636345
L'Étang-Salé,2027,97421,87224.09481818136
L'Étang-Salé,2028,97421,89170.08129999973
L'Étang-Salé,2029,97421,91116.0677818181
L'Étang-Salé,2030,97421,93062.054263636
La Plaine-des-Palmistes,2012,97406,11011.0
La Plaine-des-Palmistes,2013,97406,12201.0
La Plaine-des-Palmistes,2014,97406,13040.0
La Plaine-des-Palmistes,2015,97406,13796.0
La Plaine-des-Palmistes,2016,97406,14682.0
La Plaine-des-Palmistes,2017,97406,14951.0
La Plaine-des-Palmistes,2018,97406,15172.0
La Plaine-des-Palmistes,2019,97406,15755.0
La Plaine-des-Palmistes,2020,97406,16204.0
