Commune,Année,Code INSEE,Consommation (MWh)
Bras-Panon,2012,97402,28739.0
Bras-Panon,2013,97402,29609.0
Bras-Panon,2014,97402,30243.0
Bras-Panon,2015,97402,34210.0
Bras-Panon,2016,97402,35310.0
Bras-Panon,2017,97402,35556.0
Bras-Panon,2018,97402,35314.0
Bras-Panon,2019,97402,34949.0
Bras-Panon,2020,97402,33705.0
Bras-Panon,2021,97402,32303.967999999997
Bras-Panon,2022,97402,35738.854999999996
Bras-Panon,2023,97421,36387.82829090918
Bras-Panon,2024,97421,36911.893263636506
Bras-Panon,2025,97421,37435.9582363636
Bras-Panon,2026,97421,37960.02320909093
Bras-Panon,2027,97421,38484.08818181825
Bras-Panon,2028,97421,39008.15315454558
Bras-Panon,2029,97421,39532.218127272674
Bras-Panon,2030,97421,40056.2831
Bras-Panon,2031,97421,40580.34807272733
Bras-Panon,2032,97421,41104.413045454654
Bras-Panon,2033,97421,41628.47801818175
Bras-Panon,2034,97421,42152.542990909074
Bras-Panon,2035,97421,42676.6079636364
Bras-Panon,2036,97421,43200.67293636373
Bras-Panon,2037,97421,43724.737909091054
Bras-Panon,2038,97421,44248.80288181815
Cilaos,2012,97424,10705.0
Cilaos,2013,97424,11138.0
Cilaos,2014,97424,10909.0
Cilaos,2015,97424,11574.0
Cilaos,2016,97424,12107.0
Cilaos,2017,97424,11969.0
Cilaos,2018,97424,12179.0
Cilaos,2019,97424,12267.0
Cilaos,2020,97424,11924.0
Cilaos,2021,97424,12099.818
Cilaos,2022,97424,12446.854
Cilaos,2023,97421,12686.763381818135
Cilaos,2024,97421,12841.850127272657
Cilaos,2025,97421,12996.936872727238
Cilaos,2026,97421,13152.02361818176
Cilaos,2027,97421,13307.11036363634
Cilaos,2028,97421,13462.197109090863
Cilaos,2029,97421,13617.283854545385
Cilaos,2030,97421,13772.370599999966
Cilaos,2031,97421,13927.457345454488
Cilaos,2032,97421,14082.544090909068
Cilaos,2033,97421,14237.63083636359
Cilaos,2034,97421,14392.717581818113
Cilaos,2035,97421,14547.804327272694
Cilaos,2036,97421,14702.891072727216
Cilaos,2037,97421,14857.977818181796
Cilaos,2038,97421,15013.064563636319
Entre-Deux,2012,97403,12245.0
Entre-Deux,2013,97403,13917.0
Entre-Deux,2014,97403,13578.0
Entre-Deux,2015,97403,14395.0
Entre-Deux,2016,97403,14387.0
Entre-Deux,2017,97403,13985.0
Entre-Deux,2018,97403,13968.0
Entre-Deux,2019,97403,14856.0
Entre-Deux,2020,97403,14916.0
Entre-Deux,2021,97403,14392.541000000001
Entre-Deux,2022,97403,15092.844
Entre-Deux,2023,97421,15284.31049090909
Entre-Deux,2024,97421,15472.113981818198
Entre-Deux,2025,97421,15659.917472727306
Entre-Deux,2026,97421,15847.720963636355
Entre-Deux,2027,97421,16035.524454545463
Entre-Deux,2028,97421,16223.32794545457
Entre-Deux,2029,97421,16411.13143636362
Entre-Deux,2030,97421,16598.934927272727
Entre-Deux,2031,97421,16786.738418181834
Entre-Deux,2032,97421,16974.54190909094
Entre-Deux,2033,97421,17162.34539999999
Entre-Deux,2034,97421,17350.1488909091
Entre-Deux,2035,97421,17537.952381818206
Entre-Deux,2036,97421,17725.755872727255
Entre-Deux,2037,97421,17913.559363636363
Entre-Deux,2038,97421,18101.36285454547
L'Étang-Salé,2012,97404,54826.0
L'Étang-Salé,2013,97404,58572.0
L'Étang-Salé,2014,97404,58395.0
L'Étang-Salé,2015,97404,69105.0
L'Étang-Salé,2016,97404,69079.0
L'Étang-Salé,2017,97404,70096.0
L'Étang-Salé,2018,97404,69421.0
